accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.9679,0.1274,8,1,False,True,130823,93,37,"(5, 5)","(4, 4)",max,9
0.9566,0.1905,0,1,True,True,747075,104,88,"(2, 2)","(3, 3)",average,20
0.8198,0.6733,0,1,True,False,181224,63,77,"(4, 4)","(4, 4)",max,54
0.9004,0.4073,0,1,True,True,380125,103,74,"(3, 3)","(4, 4)",average,43
0.9762,0.1105,7,1,False,True,1878351,111,86,"(3, 3)","(2, 2)",average,15
0.9115,0.3417,0,1,True,False,736807,45,96,"(4, 4)","(2, 2)",max,45
0.9565,0.1878,0,1,True,True,466707,129,44,"(3, 3)","(3, 3)",max,50
0.9763,0.0983,0,1,True,True,272213,127,82,"(5, 5)","(5, 5)",max,26
0.7505,0.9379,0,1,True,False,37997,21,46,"(4, 4)","(4, 4)",average,22
0.8509,0.5615,0,1,True,True,109352,59,71,"(3, 3)","(5, 5)",average,26
0.5832,1.3006,0,1,True,False,106120,54,39,"(2, 2)","(4, 4)",average,66
0.9698,0.1319,0,1,True,True,108053,53,54,"(4, 4)","(4, 4)",max,10
0.6733,1.0129,0,1,True,False,48128,36,49,"(4, 4)","(5, 5)",max,52
0.9687,0.1386,0,1,True,True,496851,117,65,"(5, 5)","(3, 3)",average,22
0.976,0.1034,9,1,True,True,1410611,109,76,"(5, 5)","(2, 2)",max,15
0.7848,0.7723,0,1,True,False,41001,25,42,"(4, 4)","(4, 4)",average,16
0.6236,1.3417,0,1,True,False,19329,17,13,"(4, 4)","(3, 3)",max,58
0.8626,0.5332,0,1,True,False,330411,43,93,"(4, 4)","(3, 3)",max,50
0.7275,0.9501,0,1,True,False,5189,29,5,"(4, 4)","(5, 5)",max,37
0.7332,0.9,0,1,True,False,162447,38,52,"(2, 2)","(3, 3)",max,39
0.9215,0.3512,0,1,True,True,133627,80,44,"(5, 5)","(4, 4)",average,42
0.7684,0.7446,0,1,True,False,11324,41,9,"(3, 3)","(5, 5)",max,46
0.9704,0.1309,5,1,False,True,815369,104,46,"(4, 4)","(2, 2)",average,7
0.9379,0.2436,9,1,False,True,239639,119,40,"(3, 3)","(4, 4)",average,0
0.961,0.197,0,1,True,True,537751,75,42,"(4, 4)","(2, 2)",average,31
0.3626,2.2328,0,1,True,False,255375,35,88,"(4, 4)","(3, 3)",max,64
0.4155,2.0246,0,1,True,False,101300,29,69,"(3, 3)","(4, 4)",max,52
0.9671,0.1444,0,1,True,True,94772,61,41,"(4, 4)","(4, 4)",max,21
0.978,0.109,9,1,True,True,945017,71,78,"(5, 5)","(2, 2)",max,4
0.8148,0.7307,0,1,True,False,146475,48,80,"(5, 5)","(4, 4)",average,53
0.9763,0.1171,0,1,True,True,896890,112,47,"(4, 4)","(2, 2)",max,53
0.8728,0.4539,0,1,True,True,145271,43,41,"(2, 2)","(3, 3)",average,14
0.9078,0.3984,0,1,True,False,268515,108,95,"(5, 5)","(5, 5)",max,67
0.9646,0.1427,9,1,True,True,117786,107,13,"(3, 3)","(3, 3)",max,17
0.7766,0.8199,0,1,True,False,11967,95,1,"(4, 4)","(3, 3)",max,56
0.8838,0.4909,0,1,True,False,22987,16,8,"(5, 5)","(2, 2)",max,28
0.921,0.3529,0,1,True,True,171956,63,73,"(4, 4)","(4, 4)",max,51
0.897,0.383,0,1,True,True,201971,92,85,"(3, 3)","(5, 5)",average,29
0.9583,0.1645,8,1,False,True,1060564,70,77,"(2, 2)","(2, 2)",max,10
0.9406,0.2441,0,1,True,True,315515,68,93,"(3, 3)","(4, 4)",average,4
0.8505,0.5307,0,1,True,True,142033,121,23,"(2, 2)","(4, 4)",average,22
0.7297,0.9023,0,1,True,False,29359,34,10,"(3, 3)","(3, 3)",average,45
0.9591,0.1642,0,1,True,True,257930,32,47,"(4, 4)","(2, 2)",max,9
0.9302,0.3241,0,1,True,True,112021,36,18,"(4, 4)","(2, 2)",max,15
0.7355,0.9795,0,1,True,False,66755,14,68,"(5, 5)","(3, 3)",average,25
0.9608,0.1589,9,1,False,True,56258,95,15,"(4, 4)","(4, 4)",max,6
0.9537,0.1911,0,1,True,True,326689,51,78,"(3, 3)","(3, 3)",average,8
0.9299,0.2927,0,1,True,True,18614,33,19,"(5, 5)","(5, 5)",max,12
0.8522,0.5208,0,1,True,True,33146,61,19,"(5, 5)","(5, 5)",average,34
0.9813,0.0983,0,1,True,True,260939,107,37,"(5, 5)","(3, 3)",max,54
0.6432,1.2025,0,1,True,False,2056,15,3,"(5, 5)","(5, 5)",max,34
0.9289,0.2918,0,1,True,True,541786,39,81,"(5, 5)","(2, 2)",average,35
0.9322,0.3052,0,1,True,True,988181,109,46,"(2, 2)","(2, 2)",max,55
0.843,0.618,0,1,True,False,1648246,118,71,"(2, 2)","(2, 2)",max,69
0.9585,0.1905,0,1,True,True,498007,103,74,"(5, 5)","(3, 3)",average,35
0.8925,0.3935,0,1,True,True,194215,88,44,"(2, 2)","(4, 4)",max,37
0.758,0.8808,0,1,True,False,20491,60,6,"(3, 3)","(4, 4)",average,50
0.9568,0.1933,0,1,True,True,1354923,117,68,"(5, 5)","(2, 2)",max,68
0.9023,0.3588,0,1,True,True,244421,95,98,"(5, 5)","(5, 5)",average,31
0.9541,0.2147,0,1,True,True,2467043,128,98,"(3, 3)","(2, 2)",max,64
0.9507,0.224,0,1,True,True,132371,112,14,"(3, 3)","(3, 3)",max,58
0.9638,0.1431,0,1,True,True,737523,118,96,"(5, 5)","(3, 3)",average,41
0.9483,0.1884,8,1,False,True,304104,90,17,"(2, 2)","(2, 2)",max,3
0.8771,0.4831,0,1,True,False,764391,117,80,"(2, 2)","(3, 3)",average,61
0.6413,1.0646,0,1,True,False,190919,77,96,"(3, 3)","(5, 5)",average,50
0.5804,1.5019,0,1,True,False,417982,70,73,"(2, 2)","(3, 3)",average,59
0.912,0.3302,0,1,True,True,45671,53,32,"(3, 3)","(5, 5)",max,18
0.9748,0.1095,8,1,True,True,265087,94,76,"(4, 4)","(4, 4)",max,6
0.9339,0.2615,0,1,True,True,211298,56,19,"(2, 2)","(2, 2)",max,10
0.9494,0.2366,0,1,True,True,669392,96,85,"(4, 4)","(3, 3)",max,59
0.6259,1.2602,0,1,True,False,128635,33,78,"(2, 2)","(4, 4)",max,59
0.8593,0.5642,0,1,True,False,159899,20,46,"(5, 5)","(2, 2)",average,17
0.3446,2.1648,0,1,True,False,32452,20,41,"(4, 4)","(4, 4)",max,68
0.923,0.3048,0,1,True,True,124163,108,43,"(5, 5)","(5, 5)",average,34
0.9338,0.2523,0,1,True,True,93317,71,50,"(3, 3)","(5, 5)",max,5
0.483,1.631,0,1,True,False,38351,28,52,"(2, 2)","(5, 5)",average,21
0.7396,0.8527,0,1,True,False,46879,67,26,"(2, 2)","(5, 5)",average,33
0.9761,0.1033,0,1,True,True,287575,115,67,"(5, 5)","(4, 4)",max,44
0.8041,0.7109,0,1,True,False,10005,49,6,"(5, 5)","(5, 5)",max,57
0.3361,2.3649,0,1,True,False,16913,14,43,"(3, 3)","(5, 5)",max,49
0.8791,0.4508,0,1,True,True,109733,56,74,"(4, 4)","(5, 5)",average,6
0.6005,1.3373,0,1,True,False,833735,45,94,"(3, 3)","(2, 2)",average,69
0.9779,0.0977,0,1,True,True,188979,99,11,"(4, 4)","(2, 2)",max,25
0.9639,0.1374,0,1,True,True,1352519,101,68,"(3, 3)","(2, 2)",average,27
0.9575,0.188,0,1,True,True,56197,56,26,"(4, 4)","(4, 4)",max,13
0.8749,0.4038,0,1,True,True,204445,102,78,"(2, 2)","(5, 5)",max,18
0.8136,0.6346,0,1,True,False,14903,78,4,"(4, 4)","(4, 4)",max,47
0.3381,2.2412,0,1,True,False,56976,17,85,"(4, 4)","(4, 4)",max,23
0.9009,0.3576,0,1,True,True,380649,125,37,"(2, 2)","(3, 3)",max,53
0.6777,1.0319,0,1,True,False,94500,45,77,"(5, 5)","(5, 5)",max,60
0.9324,0.2532,0,1,True,True,27763,112,8,"(4, 4)","(5, 5)",max,8
0.9669,0.1406,9,1,True,True,276483,70,60,"(5, 5)","(3, 3)",max,6
0.5979,1.4078,0,1,True,False,11761,21,3,"(4, 4)","(2, 2)",average,64
0.9583,0.1859,0,1,True,True,46110,62,19,"(4, 4)","(4, 4)",max,7
0.4995,1.6866,0,1,True,False,6123,24,8,"(3, 3)","(5, 5)",average,64
0.8345,0.5552,0,1,True,True,13835,95,4,"(3, 3)","(5, 5)",max,22
0.642,1.1966,0,1,True,False,4893,51,2,"(3, 3)","(5, 5)",average,22
0.9087,0.3453,0,1,True,True,152562,69,83,"(5, 5)","(5, 5)",average,9
0.9484,0.2464,0,1,True,True,817944,115,87,"(3, 3)","(3, 3)",average,61
0.9622,0.1694,0,1,True,True,701771,54,76,"(5, 5)","(2, 2)",max,19
0.8804,0.4471,0,1,True,True,30263,47,23,"(4, 4)","(5, 5)",average,19
0.6507,1.1813,0,1,True,False,19201,36,6,"(2, 2)","(3, 3)",average,54
0.4109,2.0954,0,1,True,False,66747,16,60,"(5, 5)","(3, 3)",average,57
0.7357,0.9087,0,1,True,False,15503,106,4,"(4, 4)","(5, 5)",average,66
0.741,0.9744,0,1,True,False,51966,47,13,"(3, 3)","(3, 3)",average,70
0.9475,0.2276,0,1,True,True,34130,114,7,"(4, 4)","(4, 4)",max,55
0.9467,0.2372,0,1,True,True,360047,116,84,"(4, 4)","(4, 4)",average,40
0.7907,0.7137,0,1,True,False,57082,61,35,"(3, 3)","(5, 5)",average,34
0.7476,0.8856,0,1,True,False,35839,19,46,"(5, 5)","(4, 4)",average,2
0.9538,0.2397,0,1,True,True,388497,86,55,"(3, 3)","(3, 3)",max,46
0.9706,0.1278,0,1,True,True,140672,80,21,"(4, 4)","(3, 3)",max,9
0.7802,0.817,0,1,True,False,1062253,60,90,"(2, 2)","(2, 2)",max,50
0.9699,0.1312,0,1,True,True,181915,67,41,"(5, 5)","(3, 3)",max,33
0.9624,0.1613,0,1,True,True,233099,59,23,"(4, 4)","(2, 2)",average,24
0.773,0.7687,0,1,True,False,22173,25,30,"(5, 5)","(5, 5)",average,25
0.906,0.361,0,1,True,True,76484,112,13,"(2, 2)","(4, 4)",max,19
0.97,0.1359,9,1,True,True,1290519,69,95,"(3, 3)","(2, 2)",average,10
0.9094,0.3349,0,1,True,True,455210,116,79,"(2, 2)","(4, 4)",max,34
0.921,0.3081,8,1,False,True,104303,23,54,"(4, 4)","(3, 3)",average,0
0.9568,0.1653,0,1,True,True,359340,81,89,"(3, 3)","(4, 4)",max,17
0.9415,0.2296,0,1,True,True,169671,107,19,"(2, 2)","(3, 3)",max,32
0.775,0.6969,0,1,True,False,127249,55,86,"(5, 5)","(5, 5)",average,28
0.3664,2.1137,0,1,True,False,44375,23,38,"(2, 2)","(4, 4)",average,46
0.9787,0.0909,0,1,True,True,900987,120,44,"(5, 5)","(2, 2)",max,27
0.9657,0.1326,0,1,True,True,593839,98,74,"(3, 3)","(3, 3)",average,24
0.9516,0.2091,0,1,True,True,403845,129,38,"(3, 3)","(3, 3)",average,51
0.8807,0.4869,0,1,True,False,25726,34,19,"(4, 4)","(4, 4)",max,57
0.9609,0.1878,0,1,True,True,1889483,98,98,"(3, 3)","(2, 2)",average,50
0.9525,0.2062,0,1,True,True,79439,110,4,"(4, 4)","(2, 2)",average,49
0.776,0.7525,0,1,True,False,166535,79,82,"(2, 2)","(5, 5)",max,52
0.8404,0.61,0,1,True,False,5543,26,6,"(5, 5)","(5, 5)",max,22
0.9385,0.2361,0,1,True,True,72699,100,27,"(3, 3)","(5, 5)",max,17
0.879,0.4923,0,1,True,False,429947,68,32,"(2, 2)","(2, 2)",average,40
0.9439,0.2241,0,1,True,True,149642,73,79,"(3, 3)","(5, 5)",max,15
0.8395,0.5941,0,1,True,False,19451,44,8,"(3, 3)","(4, 4)",max,41
0.8543,0.5285,0,1,True,True,52463,34,58,"(3, 3)","(5, 5)",max,11
0.9581,0.1766,0,1,True,True,73919,95,9,"(4, 4)","(3, 3)",average,27
0.9787,0.0968,9,1,True,True,198555,88,60,"(5, 5)","(4, 4)",max,8
0.4698,2.0179,0,1,True,False,49975,19,38,"(5, 5)","(3, 3)",average,66
0.9239,0.3776,0,1,True,True,76874,34,13,"(4, 4)","(2, 2)",average,28
0.3179,2.436,0,1,True,False,77871,15,26,"(3, 3)","(2, 2)",average,63
0.8666,0.5328,0,1,True,False,248895,47,64,"(4, 4)","(3, 3)",max,39
0.8847,0.4777,0,1,True,False,168771,86,52,"(5, 5)","(4, 4)",average,59
0.9657,0.1493,0,1,True,True,1473811,78,96,"(3, 3)","(2, 2)",average,29
0.7333,0.9007,0,1,True,False,225831,99,89,"(2, 2)","(5, 5)",average,48
0.9577,0.1814,0,1,True,True,44739,99,5,"(4, 4)","(3, 3)",max,37
0.5244,1.5399,0,1,True,False,14913,36,14,"(4, 4)","(5, 5)",average,65
0.9632,0.148,0,1,True,True,430770,123,95,"(4, 4)","(4, 4)",average,28
0.7379,0.9531,0,1,True,False,6867,72,2,"(3, 3)","(5, 5)",max,45
0.9604,0.1906,0,1,True,True,46391,65,18,"(5, 5)","(4, 4)",max,30
0.9611,0.1811,0,1,True,True,471266,71,81,"(3, 3)","(3, 3)",max,18
0.7844,0.85,0,1,True,False,134969,14,55,"(5, 5)","(2, 2)",average,31
0.9657,0.1294,0,1,True,True,77723,84,34,"(5, 5)","(5, 5)",max,22
0.7029,1.0011,0,1,True,False,39973,36,42,"(2, 2)","(5, 5)",max,35
0.9127,0.3267,0,1,True,True,154191,85,36,"(2, 2)","(4, 4)",max,14
0.9716,0.1265,0,1,True,True,182519,49,98,"(5, 5)","(4, 4)",max,9
0.9619,0.1453,6,1,False,True,211191,118,27,"(5, 5)","(3, 3)",average,7
0.9689,0.132,0,1,True,True,518792,92,33,"(4, 4)","(2, 2)",average,29
0.9685,0.1441,0,1,True,True,580367,93,76,"(4, 4)","(3, 3)",average,32
0.7409,0.9727,0,1,True,False,74744,68,41,"(4, 4)","(5, 5)",average,68
0.8377,0.5774,0,1,True,False,222543,93,92,"(4, 4)","(5, 5)",max,60
0.8999,0.3526,0,1,True,True,178793,37,97,"(2, 2)","(4, 4)",max,14
0.8582,0.5232,7,1,False,True,688775,36,97,"(3, 3)","(2, 2)",max,0
0.891,0.444,0,1,True,True,21099,43,12,"(4, 4)","(4, 4)",average,10
0.9718,0.113,9,1,True,True,157947,124,48,"(5, 5)","(5, 5)",max,16
0.9348,0.2738,0,1,True,True,240411,97,30,"(2, 2)","(3, 3)",average,27
0.9696,0.123,0,1,True,True,463799,77,92,"(5, 5)","(3, 3)",max,34
0.6727,1.0857,0,1,True,False,10256,25,13,"(5, 5)","(5, 5)",average,55
0.9626,0.1472,0,1,True,True,115253,113,38,"(5, 5)","(5, 5)",max,24
0.9383,0.2563,0,1,True,True,290039,56,63,"(3, 3)","(3, 3)",average,13
0.7896,0.6808,0,1,True,False,62309,50,47,"(3, 3)","(5, 5)",max,44
0.7037,0.9906,0,1,True,False,66591,27,95,"(2, 2)","(5, 5)",max,24
0.7921,0.8455,0,1,True,False,136775,61,59,"(5, 5)","(4, 4)",max,68
0.5504,1.4827,0,1,True,False,274551,39,86,"(2, 2)","(3, 3)",max,15
0.5659,1.4656,0,1,True,False,1559,18,1,"(5, 5)","(4, 4)",max,23
0.9649,0.1283,0,1,True,True,138233,98,53,"(5, 5)","(5, 5)",max,33
0.6975,1.0889,0,1,True,False,24055,31,19,"(5, 5)","(4, 4)",max,70
0.925,0.3274,0,1,True,True,177247,111,24,"(5, 5)","(3, 3)",average,64
0.9253,0.3065,0,1,True,True,608919,124,60,"(2, 2)","(3, 3)",average,43
0.7127,0.9597,0,1,True,False,8060,20,13,"(4, 4)","(5, 5)",average,8
0.7849,0.7766,0,1,True,False,49387,28,62,"(5, 5)","(5, 5)",max,48
0.5831,1.4021,0,1,True,False,95603,38,96,"(3, 3)","(5, 5)",average,59
0.9709,0.1233,7,1,False,True,889751,74,61,"(3, 3)","(2, 2)",max,6
0.9484,0.2128,0,1,True,True,570487,49,59,"(3, 3)","(2, 2)",average,14
0.9595,0.1789,0,1,True,True,959588,125,45,"(5, 5)","(2, 2)",average,65
0.9556,0.1709,9,1,False,True,1068743,113,48,"(2, 2)","(2, 2)",average,8
0.9245,0.2849,0,1,True,True,217613,105,25,"(2, 2)","(3, 3)",average,19
0.8751,0.4631,0,1,True,True,77743,91,32,"(3, 3)","(5, 5)",average,27
0.6822,1.1313,0,1,True,False,16528,21,9,"(3, 3)","(3, 3)",average,44
0.9539,0.194,0,1,True,True,234939,118,24,"(2, 2)","(3, 3)",max,31
0.8037,0.7026,0,1,True,False,210582,35,73,"(3, 3)","(3, 3)",max,18
0.9278,0.3646,0,1,True,False,439547,85,79,"(5, 5)","(3, 3)",max,60
0.5633,1.3673,0,1,True,False,261423,111,92,"(2, 2)","(5, 5)",average,70
0.9396,0.2364,0,1,True,True,401247,87,56,"(4, 4)","(3, 3)",average,41
0.9751,0.1113,0,1,True,True,1086207,118,54,"(5, 5)","(2, 2)",average,42
0.88,0.5011,0,1,True,False,36787,58,16,"(4, 4)","(4, 4)",max,63
0.9461,0.2133,0,1,True,True,890166,52,87,"(2, 2)","(2, 2)",average,7
0.9549,0.1774,0,1,True,True,402004,83,59,"(3, 3)","(3, 3)",average,41
0.9214,0.3233,0,1,True,True,110087,37,77,"(5, 5)","(4, 4)",max,37
0.9618,0.1711,0,1,True,True,174587,66,70,"(5, 5)","(4, 4)",max,28
0.6448,1.1834,0,1,True,False,180571,111,63,"(2, 2)","(5, 5)",max,67
0.9694,0.1352,0,1,True,True,541871,112,59,"(3, 3)","(3, 3)",max,24
0.876,0.4823,0,1,True,True,33858,75,5,"(3, 3)","(3, 3)",max,43
0.9641,0.1417,7,1,False,True,1927761,114,86,"(2, 2)","(2, 2)",average,10
0.8989,0.4091,0,1,True,True,17876,79,7,"(5, 5)","(5, 5)",max,43
0.8263,0.601,0,1,True,True,65622,40,63,"(2, 2)","(5, 5)",max,12
0.9579,0.1755,0,1,True,True,302875,88,20,"(5, 5)","(2, 2)",max,50
0.9017,0.3935,0,1,True,True,190496,74,69,"(4, 4)","(4, 4)",average,39
0.9297,0.3079,0,1,True,True,242815,68,95,"(5, 5)","(4, 4)",average,36
0.6871,1.1862,0,1,True,False,4007,36,1,"(5, 5)","(3, 3)",average,53
0.9451,0.2849,0,1,True,True,139613,86,61,"(5, 5)","(5, 5)",max,54
0.91,0.3654,0,1,True,True,202586,92,11,"(2, 2)","(2, 2)",average,54
0.9151,0.3058,8,1,False,True,32247,107,7,"(5, 5)","(4, 4)",average,0
0.9771,0.1057,0,1,True,True,488377,90,66,"(4, 4)","(3, 3)",max,21
0.9678,0.1494,0,1,True,True,101562,108,11,"(4, 4)","(3, 3)",max,45
0.9267,0.3181,0,1,True,True,106127,94,22,"(3, 3)","(4, 4)",max,37
0.2649,2.6114,0,1,True,False,133715,14,48,"(3, 3)","(2, 2)",average,56
0.9637,0.1637,0,1,True,True,107579,64,44,"(5, 5)","(4, 4)",max,28
0.9169,0.3208,0,1,True,True,39797,122,11,"(5, 5)","(5, 5)",average,19
0.8238,0.6205,0,1,True,True,73851,36,74,"(5, 5)","(5, 5)",average,3
0.8009,0.8199,0,1,True,False,159631,27,72,"(2, 2)","(3, 3)",average,31
0.8499,0.5506,0,1,True,False,275125,102,54,"(2, 2)","(4, 4)",max,46
0.7743,0.8272,0,1,True,False,208979,104,40,"(2, 2)","(4, 4)",average,59
0.8306,0.6061,0,1,True,False,417825,57,89,"(4, 4)","(3, 3)",max,47
0.5631,1.4671,0,1,True,False,126239,14,52,"(4, 4)","(2, 2)",max,8
0.7495,0.856,0,1,True,False,394351,25,92,"(4, 4)","(2, 2)",max,23
0.7166,0.9069,0,1,True,False,145415,31,94,"(2, 2)","(4, 4)",average,25
0.8346,0.6946,0,1,True,False,41891,29,21,"(5, 5)","(3, 3)",average,40
0.6339,1.2458,0,1,True,False,17958,29,7,"(3, 3)","(3, 3)",max,53
0.9446,0.2598,0,1,True,True,181293,52,42,"(4, 4)","(3, 3)",max,20
0.9716,0.1262,0,1,True,True,74889,105,26,"(5, 5)","(5, 5)",max,30
0.8974,0.4081,0,1,True,True,75365,77,19,"(2, 2)","(4, 4)",max,21
0.952,0.1967,0,1,True,True,85779,60,17,"(3, 3)","(3, 3)",max,8
0.9714,0.1116,7,1,False,True,176153,73,29,"(4, 4)","(3, 3)",max,4
0.3224,2.4245,0,1,True,False,100265,29,69,"(2, 2)","(4, 4)",average,67
0.8981,0.3826,0,1,True,True,274383,81,68,"(2, 2)","(4, 4)",max,29
0.9708,0.1259,0,1,True,True,275295,102,41,"(5, 5)","(3, 3)",average,15
0.9447,0.2151,0,1,True,True,376076,105,97,"(4, 4)","(4, 4)",average,21
0.5504,1.437,0,1,True,False,250427,61,50,"(2, 2)","(3, 3)",average,55
0.6804,1.0535,0,1,True,False,87518,62,53,"(4, 4)","(5, 5)",average,62
0.9643,0.1516,7,1,False,True,332719,54,36,"(4, 4)","(2, 2)",max,4
0.7693,0.7948,0,1,True,False,44411,128,12,"(3, 3)","(5, 5)",average,57
0.3561,2.2842,0,1,True,False,58626,14,49,"(4, 4)","(3, 3)",average,54
0.9021,0.4188,0,1,True,True,414299,24,100,"(5, 5)","(2, 2)",average,22
0.8685,0.515,0,1,True,False,418538,111,19,"(2, 2)","(2, 2)",average,64
0.9736,0.1193,0,1,True,True,171835,72,36,"(5, 5)","(3, 3)",max,25
0.914,0.3181,0,1,True,True,165530,77,83,"(3, 3)","(5, 5)",max,8
0.9486,0.2128,0,1,True,True,1377986,77,91,"(2, 2)","(2, 2)",max,37
0.7631,0.8344,0,1,True,False,16056,128,1,"(2, 2)","(3, 3)",average,27
0.9714,0.1571,0,1,True,True,485761,109,26,"(5, 5)","(2, 2)",max,60
0.9651,0.1471,5,1,False,True,2254106,126,91,"(2, 2)","(2, 2)",max,1
0.8957,0.3692,0,1,True,True,205201,82,50,"(2, 2)","(4, 4)",max,21
0.9708,0.1326,0,1,True,True,460535,93,25,"(3, 3)","(2, 2)",average,44
0.7559,0.8185,0,1,True,False,50171,101,18,"(2, 2)","(5, 5)",average,42
0.9203,0.3694,0,1,True,False,195779,74,40,"(5, 5)","(3, 3)",max,63
0.8769,0.5308,0,1,True,False,59687,45,34,"(5, 5)","(4, 4)",average,35
0.4164,2.0398,0,1,True,False,53219,37,28,"(3, 3)","(4, 4)",average,69
0.871,0.4612,0,1,True,True,103883,119,33,"(2, 2)","(5, 5)",max,43
0.7969,0.8053,0,1,True,False,75365,43,10,"(5, 5)","(2, 2)",average,69
0.9171,0.3377,0,1,True,True,235257,75,38,"(3, 3)","(3, 3)",average,41
0.9413,0.2267,10,1,True,True,191032,105,69,"(5, 5)","(5, 5)",average,3
0.9714,0.1372,0,1,True,True,730081,129,69,"(4, 4)","(3, 3)",max,50
0.964,0.1597,0,1,True,True,1917557,125,78,"(2, 2)","(2, 2)",max,40
0.8811,0.5171,0,1,True,False,49523,74,24,"(5, 5)","(5, 5)",max,65
0.9498,0.2003,0,1,True,True,116487,105,29,"(5, 5)","(4, 4)",average,16
0.9371,0.254,0,1,True,True,335741,122,55,"(3, 3)","(4, 4)",average,44
0.9532,0.1885,0,1,True,True,128212,83,41,"(4, 4)","(4, 4)",average,6
0.8998,0.3634,0,1,True,True,334887,85,48,"(2, 2)","(3, 3)",average,19
0.3799,2.2236,0,1,True,False,59791,37,8,"(2, 2)","(2, 2)",average,67
0.9491,0.2198,0,1,True,True,41547,58,18,"(5, 5)","(4, 4)",average,4
0.9543,0.1895,7,1,False,True,85707,90,14,"(5, 5)","(3, 3)",average,0
0.7971,0.6693,0,1,True,False,38127,19,24,"(2, 2)","(3, 3)",max,7
0.7022,1.0684,0,1,True,False,7511,29,8,"(4, 4)","(5, 5)",average,34
0.9264,0.2694,0,1,True,True,224663,99,88,"(3, 3)","(5, 5)",max,22
0.9749,0.1132,0,1,True,True,349643,113,18,"(4, 4)","(2, 2)",max,31
0.927,0.3167,0,1,True,True,125900,52,29,"(4, 4)","(3, 3)",average,25
0.9413,0.2436,0,1,True,True,636002,75,43,"(2, 2)","(2, 2)",max,37
0.8693,0.5516,0,1,True,False,96462,76,15,"(4, 4)","(3, 3)",max,66
0.9444,0.2481,0,1,True,True,118863,124,36,"(4, 4)","(5, 5)",max,51
0.543,1.4706,0,1,True,False,190715,38,100,"(3, 3)","(4, 4)",average,54
0.8954,0.462,0,1,True,False,110115,90,32,"(5, 5)","(4, 4)",max,69
0.8345,0.6608,0,1,True,False,133011,108,47,"(3, 3)","(5, 5)",max,67
0.9426,0.2334,0,1,True,True,426784,28,89,"(4, 4)","(2, 2)",average,18
0.9245,0.2939,0,1,True,True,66299,119,20,"(5, 5)","(5, 5)",average,14
0.1639,2.891,0,1,True,False,152759,23,98,"(5, 5)","(3, 3)",max,38
0.9588,0.1943,0,1,True,True,453683,104,22,"(3, 3)","(2, 2)",max,43
0.9617,0.1608,0,1,True,True,273922,104,71,"(4, 4)","(4, 4)",max,43
0.8032,0.707,0,1,True,False,205631,33,76,"(2, 2)","(3, 3)",average,20
0.8582,0.4674,0,1,True,True,42943,91,17,"(2, 2)","(5, 5)",max,13
0.8086,0.7274,0,1,True,False,101300,29,69,"(3, 3)","(4, 4)",average,30
0.5812,1.275,0,1,True,False,191154,114,65,"(2, 2)","(5, 5)",average,62
0.9737,0.1219,0,1,True,True,940335,115,48,"(4, 4)","(2, 2)",max,39
0.9599,0.167,0,1,True,True,349319,59,90,"(5, 5)","(3, 3)",average,6
0.933,0.283,0,1,True,True,229999,104,59,"(5, 5)","(4, 4)",max,63
0.9685,0.1252,0,1,True,True,98222,117,31,"(5, 5)","(5, 5)",max,20
0.9351,0.3265,0,1,True,True,174679,84,12,"(4, 4)","(2, 2)",average,68
0.822,0.6624,0,1,True,False,492891,52,48,"(3, 3)","(2, 2)",average,39
0.5753,1.3197,0,1,True,False,5009,29,5,"(2, 2)","(5, 5)",max,22
0.864,0.5214,0,1,True,False,186224,100,37,"(2, 2)","(4, 4)",max,58
0.469,1.8655,0,1,True,False,48287,14,49,"(5, 5)","(3, 3)",max,42
0.827,0.635,0,1,True,False,90910,42,81,"(4, 4)","(5, 5)",average,16
0.9636,0.1616,5,1,False,True,287201,98,17,"(5, 5)","(2, 2)",average,0
0.7758,0.7453,0,1,True,False,28593,72,14,"(2, 2)","(5, 5)",max,51
0.9678,0.1451,0,1,True,True,128226,62,55,"(4, 4)","(4, 4)",max,22
0.7657,0.8432,0,1,True,False,130053,45,35,"(2, 2)","(3, 3)",average,19
0.8999,0.439,0,1,True,False,319859,127,68,"(4, 4)","(4, 4)",average,70
0.9303,0.2674,10,1,True,True,249323,95,100,"(5, 5)","(5, 5)",average,3
0.8737,0.4842,0,1,True,True,155905,118,26,"(2, 2)","(4, 4)",average,28
0.9688,0.1333,0,1,True,True,544131,60,53,"(5, 5)","(2, 2)",max,25
0.9702,0.119,8,1,True,True,887403,90,50,"(3, 3)","(2, 2)",max,11
0.9611,0.1704,0,1,True,True,66259,118,8,"(5, 5)","(3, 3)",average,23
0.9229,0.3516,0,1,True,False,462763,83,68,"(3, 3)","(3, 3)",max,65
0.9583,0.1676,9,1,True,True,77247,81,14,"(5, 5)","(3, 3)",average,8
0.9036,0.3329,0,1,True,True,201487,115,68,"(2, 2)","(5, 5)",max,9
0.9208,0.3334,0,1,True,True,24068,39,7,"(3, 3)","(3, 3)",max,39
0.9502,0.2553,0,1,True,True,634424,128,29,"(4, 4)","(2, 2)",average,67
0.9609,0.17,0,1,True,True,148952,41,21,"(5, 5)","(2, 2)",max,18
