accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.6356,1.202,0,1,True,False,275657,110,98,"(2, 2)","(5, 5)",average,66
0.8571,0.5541,0,1,True,False,613517,38,82,"(2, 2)","(2, 2)",max,34
0.8724,0.4708,0,1,True,True,31365,109,3,"(2, 2)","(3, 3)",average,33
0.802,0.7732,0,1,True,False,330303,77,52,"(4, 4)","(3, 3)",average,58
0.8862,0.42,0,1,True,True,264475,63,84,"(3, 3)","(4, 4)",average,13
0.5952,1.345,0,1,True,False,36485,17,54,"(4, 4)","(4, 4)",max,35
0.7435,0.8736,0,1,True,False,44087,56,15,"(3, 3)","(4, 4)",average,49
0.5245,1.6447,0,1,True,False,279039,30,47,"(3, 3)","(2, 2)",max,61
0.9577,0.1724,0,1,True,True,581411,74,96,"(3, 3)","(3, 3)",average,11
0.8692,0.5474,0,1,True,False,367494,91,81,"(3, 3)","(4, 4)",average,62
0.9202,0.3342,0,1,True,True,270025,73,74,"(3, 3)","(4, 4)",max,41
0.9582,0.1869,0,1,True,True,625383,78,98,"(3, 3)","(3, 3)",max,52
0.6794,1.0457,0,1,True,False,203531,77,100,"(5, 5)","(5, 5)",average,66
0.7704,0.7527,0,1,True,False,95103,54,68,"(2, 2)","(5, 5)",max,23
0.853,0.6188,0,1,True,False,422275,70,92,"(5, 5)","(3, 3)",max,68
0.9717,0.1248,9,1,True,True,205458,117,47,"(4, 4)","(4, 4)",max,12
0.8668,0.4964,0,1,True,False,273564,68,49,"(2, 2)","(3, 3)",average,32
0.9592,0.1634,0,1,True,True,194055,93,80,"(4, 4)","(5, 5)",max,11
0.8246,0.6623,0,1,True,False,198983,32,93,"(5, 5)","(3, 3)",average,54
0.9771,0.1075,0,1,True,True,196035,120,62,"(5, 5)","(5, 5)",max,13
0.8582,0.5702,0,1,True,False,63480,57,29,"(4, 4)","(4, 4)",average,56
0.955,0.1926,9,1,False,True,294129,85,42,"(3, 3)","(3, 3)",average,2
0.9325,0.279,0,1,True,True,123904,67,71,"(3, 3)","(5, 5)",max,24
0.8749,0.4209,10,1,False,True,148403,95,60,"(3, 3)","(5, 5)",average,0
0.9697,0.1413,0,1,True,True,277733,77,21,"(4, 4)","(2, 2)",average,27
0.9706,0.1232,10,1,True,True,63196,95,17,"(4, 4)","(4, 4)",max,13
0.9032,0.4585,0,1,True,False,86415,51,44,"(5, 5)","(4, 4)",max,53
0.6205,1.27,0,1,True,False,69572,27,91,"(5, 5)","(5, 5)",max,34
0.8541,0.5879,0,1,True,False,525295,28,95,"(3, 3)","(2, 2)",average,20
0.964,0.1491,0,1,True,True,206726,94,59,"(4, 4)","(4, 4)",max,31
0.8202,0.6309,0,1,True,False,18711,55,6,"(2, 2)","(4, 4)",max,34
0.8163,0.609,0,1,True,False,444604,64,85,"(2, 2)","(3, 3)",max,50
0.9535,0.196,0,1,True,True,98470,70,53,"(4, 4)","(5, 5)",max,18
0.9707,0.1344,0,1,True,True,2013655,115,89,"(3, 3)","(2, 2)",average,41
0.8518,0.4829,0,1,True,True,198599,115,67,"(2, 2)","(5, 5)",max,33
0.7411,0.9219,0,1,True,False,42871,42,12,"(2, 2)","(3, 3)",average,52
0.8929,0.46,0,1,True,True,125007,31,60,"(5, 5)","(3, 3)",average,9
0.7072,1.0407,0,1,True,False,627593,47,78,"(5, 5)","(2, 2)",max,65
0.9749,0.1136,0,1,True,True,605567,71,50,"(4, 4)","(2, 2)",max,14
0.5478,1.5819,0,1,True,False,79175,21,94,"(5, 5)","(4, 4)",average,41
0.826,0.7047,0,1,True,False,58887,22,39,"(5, 5)","(3, 3)",average,28
0.7455,0.8377,0,1,True,False,63706,46,53,"(2, 2)","(5, 5)",average,7
0.9752,0.1093,0,1,True,True,227392,91,95,"(5, 5)","(5, 5)",max,9
0.9336,0.2497,0,1,True,True,243860,94,13,"(2, 2)","(2, 2)",average,24
0.9685,0.1381,0,1,True,True,502007,109,56,"(4, 4)","(3, 3)",average,42
0.8572,0.5552,0,1,True,False,165747,46,96,"(4, 4)","(4, 4)",average,44
0.9393,0.2315,0,1,True,True,237674,63,19,"(2, 2)","(2, 2)",average,7
0.8892,0.4354,0,1,True,True,76958,48,19,"(4, 4)","(3, 3)",average,20
0.9374,0.2745,0,1,True,True,675387,90,38,"(3, 3)","(2, 2)",average,54
0.8709,0.4973,0,1,True,False,93519,39,62,"(5, 5)","(4, 4)",average,29
0.4101,1.9756,0,1,True,False,59102,26,45,"(2, 2)","(4, 4)",max,64
0.9618,0.161,0,1,True,True,260921,121,26,"(3, 3)","(3, 3)",average,30
0.7344,0.9111,0,1,True,False,96937,31,82,"(4, 4)","(4, 4)",max,46
0.7162,0.9407,0,1,True,False,377198,80,95,"(2, 2)","(4, 4)",average,59
0.879,0.4457,0,1,True,True,97883,95,20,"(3, 3)","(4, 4)",average,36
0.9616,0.157,0,1,True,True,479117,79,74,"(3, 3)","(3, 3)",average,15
0.811,0.727,0,1,True,False,5489,14,2,"(4, 4)","(2, 2)",average,7
0.8178,0.6136,0,1,True,True,19815,58,6,"(3, 3)","(4, 4)",average,19
0.9372,0.2706,0,1,True,True,161756,102,19,"(2, 2)","(3, 3)",max,37
0.9501,0.2305,0,1,True,True,784731,100,96,"(3, 3)","(3, 3)",max,47
0.9606,0.1539,0,1,True,True,1138615,109,53,"(3, 3)","(2, 2)",max,48
0.9674,0.1355,9,1,True,True,177159,69,68,"(5, 5)","(4, 4)",max,7
0.8973,0.37,0,1,True,True,40864,127,11,"(3, 3)","(5, 5)",max,32
0.9309,0.3495,0,1,True,True,253659,73,42,"(4, 4)","(3, 3)",average,57
0.9612,0.1625,8,1,False,True,34319,76,11,"(5, 5)","(4, 4)",max,2
0.8852,0.421,0,1,True,True,409634,116,71,"(2, 2)","(4, 4)",average,12
0.4642,1.6907,0,1,True,False,58060,28,41,"(2, 2)","(4, 4)",max,58
0.9397,0.2312,0,1,True,True,315467,121,100,"(5, 5)","(5, 5)",average,12
0.9559,0.1814,0,1,True,True,360566,99,73,"(3, 3)","(4, 4)",max,20
0.9459,0.2052,10,1,True,True,149088,78,23,"(2, 2)","(3, 3)",max,4
0.9533,0.1907,10,1,True,True,175742,26,81,"(4, 4)","(3, 3)",max,3
0.8806,0.48,0,1,True,False,850307,83,52,"(2, 2)","(2, 2)",average,52
0.9601,0.1948,0,1,True,True,270788,110,95,"(4, 4)","(5, 5)",max,41
0.8706,0.4195,0,1,True,True,94517,77,47,"(2, 2)","(5, 5)",max,11
0.9647,0.161,0,1,True,True,805955,118,40,"(5, 5)","(2, 2)",average,49
0.4414,2.007,0,1,True,False,117947,41,43,"(5, 5)","(3, 3)",max,69
0.4509,1.9851,0,1,True,False,180911,33,82,"(5, 5)","(3, 3)",average,67
0.9576,0.1878,0,1,True,True,256789,69,45,"(4, 4)","(3, 3)",average,17
0.8266,0.6615,0,1,True,False,244079,94,100,"(4, 4)","(5, 5)",average,43
0.6262,1.2724,0,1,True,False,942251,63,76,"(2, 2)","(2, 2)",max,56
0.9577,0.1851,0,1,True,True,391062,90,53,"(2, 2)","(3, 3)",max,10
0.7841,0.729,0,1,True,False,66335,83,30,"(2, 2)","(5, 5)",max,61
0.8901,0.3999,10,1,True,True,210665,73,35,"(2, 2)","(3, 3)",average,1
0.644,1.1943,0,1,True,False,10785,114,2,"(2, 2)","(5, 5)",max,25
0.9123,0.3336,0,1,True,True,132408,61,81,"(5, 5)","(5, 5)",average,15
0.8571,0.4978,10,1,True,True,59732,21,73,"(4, 4)","(4, 4)",average,1
0.9574,0.161,0,1,True,True,882371,80,56,"(2, 2)","(2, 2)",average,17
0.6761,1.0491,0,1,True,False,38415,34,42,"(3, 3)","(5, 5)",average,41
0.8389,0.6427,0,1,True,False,665744,38,89,"(2, 2)","(2, 2)",average,40
0.8415,0.5441,0,1,True,False,285436,66,87,"(2, 2)","(4, 4)",max,49
0.9627,0.1723,0,1,True,True,167434,111,57,"(5, 5)","(5, 5)",max,39
0.7735,0.7772,0,1,True,False,27824,20,49,"(4, 4)","(5, 5)",max,18
0.8938,0.4034,0,1,True,True,529391,32,84,"(2, 2)","(2, 2)",max,19
0.9253,0.2757,0,1,True,True,137898,115,45,"(5, 5)","(5, 5)",average,23
0.627,1.2428,0,1,True,False,56201,56,38,"(2, 2)","(5, 5)",max,65
0.9507,0.2395,0,1,True,True,512317,46,65,"(5, 5)","(2, 2)",max,40
0.9283,0.2762,0,1,True,True,166847,92,36,"(2, 2)","(4, 4)",max,23
